#,Is Reference,Run Label,Condition,Fraction,Replicate,Quantity Correction Factor,Label,Color,File Name,Names
1,FALSE,23_0302_002_LMF1_07_SW_01.htrms,LMF1,NA,1,1,LMF1,#EC1313,23_0302_002_LMF1_07_SW_01,LMF1_7_1
2,FALSE,23_0302_004_MSan2_07_SW_01.htrms,MSan2,NA,1,1,MSan2,#13EC80,23_0302_004_MSan2_07_SW_01,MSan2_7_1
3,FALSE,23_0302_006_LMF1_08_SW_01.htrms,LMF1,NA,2,1,LMF1,#EC1313,23_0302_006_LMF1_08_SW_01,LMF1_8_1
4,FALSE,23_0302_008_MSan2_08_SW_01.htrms,MSan2,NA,2,1,MSan2,#13EC80,23_0302_008_MSan2_08_SW_01,MSan2_8_1
5,FALSE,23_0302_010_LMF1_09_SW_01.htrms,LMF1,NA,3,1,LMF1,#EC1313,23_0302_010_LMF1_09_SW_01,LMF1_9_1
6,FALSE,23_0302_012_MSan2_09_SW_01.htrms,MSan2,NA,3,1,MSan2,#13EC80,23_0302_012_MSan2_09_SW_01,MSan2_9_1
7,FALSE,23_0302_014_LMF1_10_SW_01.htrms,LMF1,NA,4,1,LMF1,#EC1313,23_0302_014_LMF1_10_SW_01,LMF1_10_1
8,FALSE,23_0302_016_MSan2_10_SW_01.htrms,MSan2,NA,4,1,MSan2,#13EC80,23_0302_016_MSan2_10_SW_01,MSan2_10_1
9,FALSE,23_0302_018_LMF1_11_SW_01.htrms,LMF1,NA,5,1,LMF1,#EC1313,23_0302_018_LMF1_11_SW_01,LMF1_11_1
10,FALSE,23_0302_020_MSan2_11_SW_01.htrms,MSan2,NA,5,1,MSan2,#13EC80,23_0302_020_MSan2_11_SW_01,MSan2_11_1
11,FALSE,23_0302_022_LMF1_12_SW_01.htrms,LMF1,NA,6,1,LMF1,#EC1313,23_0302_022_LMF1_12_SW_01,LMF1_12_1
12,FALSE,23_0302_024_MSan2_12_SW_01.htrms,MSan2,NA,6,1,MSan2,#13EC80,23_0302_024_MSan2_12_SW_01,MSan2_12_1
13,FALSE,23_0302_027_LMF1_07_SW_02.htrms,LMF1,NA,7,1,LMF1,#EC1313,23_0302_027_LMF1_07_SW_02,LMF1_7_2
14,FALSE,23_0302_029_MSan2_07_SW_02.htrms,MSan2,NA,7,1,MSan2,#13EC80,23_0302_029_MSan2_07_SW_02,MSan2_7_2
15,FALSE,23_0302_031_LMF1_08_SW_02.htrms,LMF1,NA,8,1,LMF1,#EC1313,23_0302_031_LMF1_08_SW_02,LMF1_8_2
16,FALSE,23_0302_033_MSan2_08_SW_02.htrms,MSan2,NA,8,1,MSan2,#13EC80,23_0302_033_MSan2_08_SW_02,MSan2_8_2
17,FALSE,23_0302_035_LMF1_09_SW_02.htrms,LMF1,NA,9,1,LMF1,#EC1313,23_0302_035_LMF1_09_SW_02,LMF1_9_2
18,FALSE,23_0302_037_MSan2_09_SW_02.htrms,MSan2,NA,9,1,MSan2,#13EC80,23_0302_037_MSan2_09_SW_02,MSan2_9_2
19,FALSE,23_0302_039_LMF1_10_SW_02.htrms,LMF1,NA,10,1,LMF1,#EC1313,23_0302_039_LMF1_10_SW_02,LMF1_10_2
20,FALSE,23_0302_041_MSan2_10_SW_02.htrms,MSan2,NA,10,1,MSan2,#13EC80,23_0302_041_MSan2_10_SW_02,MSan2_10_2
21,FALSE,23_0302_043_LMF1_11_SW_02.htrms,LMF1,NA,11,1,LMF1,#EC1313,23_0302_043_LMF1_11_SW_02,LMF1_11_2
22,FALSE,23_0302_045_MSan2_11_SW_02.htrms,MSan2,NA,11,1,MSan2,#13EC80,23_0302_045_MSan2_11_SW_02,MSan2_11_2
23,FALSE,23_0302_047_LMF1_12_SW_02.htrms,LMF1,NA,12,1,LMF1,#EC1313,23_0302_047_LMF1_12_SW_02,LMF1_12_2
24,FALSE,23_0302_049_MSan2_12_SW_02.htrms,MSan2,NA,12,1,MSan2,#13EC80,23_0302_049_MSan2_12_SW_02,MSan2_12_2
25,FALSE,23_0302_052_LMF1_07_SW_03.htrms,LMF1,NA,13,1,LMF1,#EC1313,23_0302_052_LMF1_07_SW_03,LMF1_7_3
26,FALSE,23_0302_054_MSan2_07_SW_03.htrms,MSan2,NA,13,1,MSan2,#13EC80,23_0302_054_MSan2_07_SW_03,MSan2_7_3
27,FALSE,23_0302_056_LMF1_08_SW_03.htrms,LMF1,NA,14,1,LMF1,#EC1313,23_0302_056_LMF1_08_SW_03,LMF1_8_3
28,FALSE,23_0302_058_MSan2_08_SW_03.htrms,MSan2,NA,14,1,MSan2,#13EC80,23_0302_058_MSan2_08_SW_03,MSan2_8_3
29,FALSE,23_0302_060_LMF1_09_SW_03.htrms,LMF1,NA,15,1,LMF1,#EC1313,23_0302_060_LMF1_09_SW_03,LMF1_9_3
30,FALSE,23_0302_062_MSan2_09_SW_03.htrms,MSan2,NA,15,1,MSan2,#13EC80,23_0302_062_MSan2_09_SW_03,MSan2_9_3
31,FALSE,23_0302_064_LMF1_10_SW_03.htrms,LMF1,NA,16,1,LMF1,#EC1313,23_0302_064_LMF1_10_SW_03,LMF1_10_3
32,FALSE,23_0302_066_MSan2_10_SW_03.htrms,MSan2,NA,16,1,MSan2,#13EC80,23_0302_066_MSan2_10_SW_03,MSan2_10_3
33,FALSE,23_0302_068_LMF1_11_SW_03.htrms,LMF1,NA,17,1,LMF1,#EC1313,23_0302_068_LMF1_11_SW_03,LMF1_11_3
34,FALSE,23_0302_070_MSan2_11_SW_03.htrms,MSan2,NA,17,1,MSan2,#13EC80,23_0302_070_MSan2_11_SW_03,MSan2_11_3
35,FALSE,23_0302_072_LMF1_12_SW_03.htrms,LMF1,NA,18,1,LMF1,#EC1313,23_0302_072_LMF1_12_SW_03,LMF1_12_3
36,FALSE,23_0302_074_MSan2_12_SW_03.htrms,MSan2,NA,18,1,MSan2,#13EC80,23_0302_074_MSan2_12_SW_03,MSan2_12_3